Ox,HOx,H2Ox+2,HRed1,H2Red1+,H3Red1+2,H2Red2,H3Red2+,H4Red2+2
N=C1C(I)=CC(=C2C=C(I)C(=N)C(F)=C2F)C(F)=C1F,N=C1C(I)=CC(=C2C=C(I)C(=[NH2+])C(F)=C2F)C(F)=C1F,[NH2+]=C1C(I)=CC(=C2C=C(I)C(=[NH2+])C(F)=C2F)C(F)=C1F,N=C1C(I)=C[C](C2=CC(I)=C(N)C(F)=C2F)C(F)=C1F,NC1=C(I)C=C([C]2C=C(I)C(=[NH2])C(F)=C2F)C(F)=C1F,[NH2]=C1C(I)=C[C](C2=CC(I)=C([NH3])C(F)=C2F)C(F)=C1F,Nc1c(I)cc(-c2cc(I)c(N)c(F)c2F)c(F)c1F,Nc1c(I)cc(-c2cc(I)c([NH3])c(F)c2F)c(F)c1F,[NH3]c1c(I)cc(-c2cc(I)c([NH3])c(F)c2F)c(F)c1F
N=C1C=CC(=C2C=CC(=N)C=C2CC=CF)C(CC=CF)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2CC=CF)C(CC=CF)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2CC=CF)C(CC=CF)=C1,N=C1C=C[C](C2=CC=C(N)C=C2CC=CF)C(CC=CF)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2CC=CF)C(CC=CF)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2CC=CF)C(CC=CF)=C1,Nc1ccc(-c2ccc(N)cc2CC=CF)c(CC=CF)c1,Nc1ccc(-c2ccc([NH3])cc2CC=CF)c(CC=CF)c1,[NH3]c1ccc(-c2ccc([NH3])cc2CC=CF)c(CC=CF)c1
CC1=CC(=N)C=C(C)C1=C1C(C)=CC(=N)C=C1C,CC1=CC(=N)C=C(C)C1=C1C(C)=CC(=[NH2+])C=C1C,CC1=CC(=[NH2+])C=C(C)C1=C1C(C)=CC(=[NH2+])C=C1C,CC1=CC(=N)C=C(C)[C]1C1=C(C)C=C(N)C=C1C,CC1=CC(=[NH2])C=C(C)[C]1C1=C(C)C=C(N)C=C1C,CC1=CC(=[NH2])C=C(C)[C]1C1=C(C)C=C([NH3])C=C1C,Cc1cc(N)cc(C)c1-c1c(C)cc(N)cc1C,Cc1cc(N)cc(C)c1-c1c(C)cc([NH3])cc1C,Cc1cc([NH3])cc(C)c1-c1c(C)cc([NH3])cc1C
N=C1C=CC(=C2C=CC(=N)C(N)=C2F)C(F)=C1N,N=C1C=CC(=C2C=CC(=[NH2+])C(N)=C2F)C(F)=C1N,NC1=C(F)C(=C2C=CC(=[NH2+])C(N)=C2F)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(N)=C2F)C(F)=C1N,NC1=CC=C([C]2C=CC(=[NH2])C(N)=C2F)C(F)=C1N,NC1=C(F)[C](C2=CC=C([NH3])C(N)=C2F)C=CC1=[NH2],Nc1ccc(-c2ccc(N)c(N)c2F)c(F)c1N,Nc1ccc(-c2ccc([NH3])c(N)c2F)c(F)c1N,Nc1c([NH3])ccc(-c2ccc([NH3])c(N)c2F)c1F
N=C1C(N)=CC(=C2C=C(N)C(=N)C(F)=C2)C=C1F,N=C1C(N)=CC(=C2C=C(N)C(=[NH2+])C(F)=C2)C=C1F,NC1=CC(=C2C=C(N)C(=[NH2+])C(F)=C2)C=C(F)C1=[NH2+],N=C1C(N)=C[C](C2=CC(N)=C(N)C(F)=C2)C=C1F,NC1=C[C](C2=CC(N)=C(N)C(F)=C2)C=C(F)C1=[NH2],NC1=C[C](C2=CC(N)=C([NH3])C(F)=C2)C=C(F)C1=[NH2],Nc1cc(-c2cc(N)c(N)c(F)c2)cc(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2)cc(F)c1N,Nc1cc(-c2cc(N)c([NH3])c(F)c2)cc(F)c1[NH3]
CCCCCC#CC1=CC(=N)C=CC1=C1C=CC(=N)C=C1C#CCCCCC,CCCCCC#CC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1C#CCCCCC,CCCCCC#CC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1C#CCCCCC,CCCCCC#CC1=CC(=N)C=C[C]1C1=C(C#CCCCCC)C=C(N)C=C1,CCCCCC#CC1=CC(=[NH2])C=C[C]1C1=C(C#CCCCCC)C=C(N)C=C1,CCCCCC#CC1=CC(=[NH2])C=C[C]1C1=C(C#CCCCCC)C=C([NH3])C=C1,CCCCCC#Cc1cc(N)ccc1-c1ccc(N)cc1C#CCCCCC,CCCCCC#Cc1cc(N)ccc1-c1ccc([NH3])cc1C#CCCCCC,CCCCCC#Cc1cc([NH3])ccc1-c1ccc([NH3])cc1C#CCCCCC
CCCCCCC#CC#CC1=CC(=C2C=CC(=N)C(C#CC#CCCCCCC)=C2)C=CC1=N,CCCCCCC#CC#CC1=CC(=C2C=CC(=[NH2+])C(C#CC#CCCCCCC)=C2)C=CC1=N,CCCCCCC#CC#CC1=CC(=C2C=CC(=[NH2+])C(C#CC#CCCCCCC)=C2)C=CC1=[NH2+],CCCCCCC#CC#CC1=C[C](C2=CC=C(N)C(C#CC#CCCCCCC)=C2)C=CC1=N,CCCCCCC#CC#CC1=C[C](C2=CC=C(N)C(C#CC#CCCCCCC)=C2)C=CC1=[NH2],CCCCCCC#CC#CC1=C[C](C2=CC=C([NH3])C(C#CC#CCCCCCC)=C2)C=CC1=[NH2],CCCCCCC#CC#Cc1cc(-c2ccc(N)c(C#CC#CCCCCCC)c2)ccc1N,CCCCCCC#CC#Cc1cc(-c2ccc([NH3])c(C#CC#CCCCCCC)c2)ccc1N,CCCCCCC#CC#Cc1cc(-c2ccc([NH3])c(C#CC#CCCCCCC)c2)ccc1[NH3]
N#CCC1=CC(=N)C=CC1=C1C=CC(=N)C=C1CC#N,N#CCC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1CC#N,N#CCC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1CC#N,N#CCC1=CC(=N)C=C[C]1C1=C(CC#N)C=C(N)C=C1,N#CCC1=CC(=[NH2])C=C[C]1C1=C(CC#N)C=C(N)C=C1,N#CCC1=CC(=[NH2])C=C[C]1C1=C(CC#N)C=C([NH3])C=C1,N#CCc1cc(N)ccc1-c1ccc(N)cc1CC#N,N#CCc1cc(N)ccc1-c1ccc([NH3])cc1CC#N,N#CCc1cc([NH3])ccc1-c1ccc([NH3])cc1CC#N
N=C1C=CC(=C2C=CC(=N)C([NH2+][O-])=C2)C=C1[NH2+][O-],N=C1C=CC(=C2C=CC(=[NH2+])C([NH2+][O-])=C2)C=C1[NH2+][O-],[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C([NH2+][O-])=C2)C=C1[NH2+][O-],N=C1C=C[C](C2=CC=C(N)C([NH2+][O-])=C2)C=C1[NH2+][O-],NC1=CC=C([C]2C=CC(=[NH2])C([NH2+][O-])=C2)C=C1[NH2+][O-],[NH2]=C1C=C[C](C2=CC=C([NH3])C([NH2+][O-])=C2)C=C1[NH2+][O-],Nc1ccc(-c2ccc(N)c([NH2+][O-])c2)cc1[NH2+][O-],Nc1ccc(-c2ccc([NH3])c([NH2+][O-])c2)cc1[NH2+][O-],[NH3]c1ccc(-c2ccc([NH3])c([NH2+][O-])c2)cc1[NH2+][O-]
CCP(C)(=O)C1=CC(=C2C=CC(=N)C(P(C)(=O)CC)=C2)C=CC1=N,CCP(C)(=O)C1=CC(=C2C=CC(=[NH2+])C(P(C)(=O)CC)=C2)C=CC1=N,CCP(C)(=O)C1=CC(=C2C=CC(=[NH2+])C(P(C)(=O)CC)=C2)C=CC1=[NH2+],CCP(C)(=O)C1=C[C](C2=CC=C(N)C(P(C)(=O)CC)=C2)C=CC1=N,CCP(C)(=O)C1=C[C](C2=CC=C(N)C(P(C)(=O)CC)=C2)C=CC1=[NH2],CCP(C)(=O)C1=C[C](C2=CC=C([NH3])C(P(C)(=O)CC)=C2)C=CC1=[NH2],CCP(C)(=O)c1cc(-c2ccc(N)c(P(C)(=O)CC)c2)ccc1N,CCP(C)(=O)c1cc(-c2ccc([NH3])c(P(C)(=O)CC)c2)ccc1N,CCP(C)(=O)c1cc(-c2ccc([NH3])c(P(C)(=O)CC)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C(C=CCCN)=C2)C=C1C=CCCN,N=C1C=CC(=C2C=CC(=[NH2+])C(C=CCCN)=C2)C=C1C=CCCN,NCCC=CC1=CC(=C2C=CC(=[NH2+])C(C=CCCN)=C2)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(C=CCCN)=C2)C=C1C=CCCN,NCCC=CC1=C[C](C2=CC=C(N)C(C=CCCN)=C2)C=CC1=[NH2],NCCC=CC1=C[C](C2=CC=C([NH3])C(C=CCCN)=C2)C=CC1=[NH2],NCCC=Cc1cc(-c2ccc(N)c(C=CCCN)c2)ccc1N,NCCC=Cc1cc(-c2ccc([NH3])c(C=CCCN)c2)ccc1N,NCCC=Cc1cc(-c2ccc([NH3])c(C=CCCN)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,N=C1C=CC(=C2C=CC(=[NH2+])C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,N=C1C=C[C](C2=CC=C(N)C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,NC1=CC=C([C]2C=CC(=[NH2])C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,[NH2]=C1C=C[C](C2=CC=C([NH3])C([NH+]([O-])O)=C2)C=C1[NH+]([O-])O,Nc1ccc(-c2ccc(N)c([NH+]([O-])O)c2)cc1[NH+]([O-])O,Nc1ccc(-c2ccc([NH3])c([NH+]([O-])O)c2)cc1[NH+]([O-])O,[NH3]c1ccc(-c2ccc([NH3])c([NH+]([O-])O)c2)cc1[NH+]([O-])O
N=C1C=CC(=C2C=CC(=N)C(CCCBr)=C2)C=C1CCCBr,N=C1C=CC(=C2C=CC(=[NH2+])C(CCCBr)=C2)C=C1CCCBr,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CCCBr)=C2)C=C1CCCBr,N=C1C=C[C](C2=CC=C(N)C(CCCBr)=C2)C=C1CCCBr,NC1=CC=C([C]2C=CC(=[NH2])C(CCCBr)=C2)C=C1CCCBr,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CCCBr)=C2)C=C1CCCBr,Nc1ccc(-c2ccc(N)c(CCCBr)c2)cc1CCCBr,Nc1ccc(-c2ccc([NH3])c(CCCBr)c2)cc1CCCBr,[NH3]c1ccc(-c2ccc([NH3])c(CCCBr)c2)cc1CCCBr
N=C1C=CC(=C2C=CC(=N)C(C=CCBr)=C2)C=C1C=CCBr,N=C1C=CC(=C2C=CC(=[NH2+])C(C=CCBr)=C2)C=C1C=CCBr,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C=CCBr)=C2)C=C1C=CCBr,N=C1C=C[C](C2=CC=C(N)C(C=CCBr)=C2)C=C1C=CCBr,NC1=CC=C([C]2C=CC(=[NH2])C(C=CCBr)=C2)C=C1C=CCBr,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C=CCBr)=C2)C=C1C=CCBr,Nc1ccc(-c2ccc(N)c(C=CCBr)c2)cc1C=CCBr,Nc1ccc(-c2ccc([NH3])c(C=CCBr)c2)cc1C=CCBr,[NH3]c1ccc(-c2ccc([NH3])c(C=CCBr)c2)cc1C=CCBr
[N-]=[N+]=NC1=CC(=C2C=CC(=N)C(N=[N+]=[N-])=C2)C=CC1=N,[N-]=[N+]=NC1=CC(=C2C=CC(=[NH2+])C(N=[N+]=[N-])=C2)C=CC1=N,[N-]=[N+]=NC1=CC(=C2C=CC(=[NH2+])C(N=[N+]=[N-])=C2)C=CC1=[NH2+],[N-]=[N+]=NC1=C[C](C2=CC=C(N)C(N=[N+]=[N-])=C2)C=CC1=N,[N-]=[N+]=NC1=C[C](C2=CC=C(N)C(N=[N+]=[N-])=C2)C=CC1=[NH2],[N-]=[N+]=NC1=C[C](C2=CC=C([NH3])C(N=[N+]=[N-])=C2)C=CC1=[NH2],[N-]=[N+]=Nc1cc(-c2ccc(N)c(N=[N+]=[N-])c2)ccc1N,[N-]=[N+]=Nc1cc(-c2ccc([NH3])c(N=[N+]=[N-])c2)ccc1N,[N-]=[N+]=Nc1cc(-c2ccc([NH3])c(N=[N+]=[N-])c2)ccc1[NH3]
CC1=C(P(C)C)C(=N)C=CC1=C1C=CC(=N)C(P(C)C)=C1C,CC1=C(P(C)C)C(=N)C=CC1=C1C=CC(=[NH2+])C(P(C)C)=C1C,CC1=C(P(C)C)C(=[NH2+])C=CC1=C1C=CC(=[NH2+])C(P(C)C)=C1C,CC1=C(P(C)C)C(=N)C=C[C]1C1=CC=C(N)C(P(C)C)=C1C,CC1=C(P(C)C)C(=[NH2])C=C[C]1C1=CC=C(N)C(P(C)C)=C1C,CC1=C(P(C)C)C(=[NH2])C=C[C]1C1=CC=C([NH3])C(P(C)C)=C1C,Cc1c(-c2ccc(N)c(P(C)C)c2C)ccc(N)c1P(C)C,Cc1c(-c2ccc([NH3])c(P(C)C)c2C)ccc(N)c1P(C)C,Cc1c(-c2ccc([NH3])c(P(C)C)c2C)ccc([NH3])c1P(C)C
N=C1C=CC(=C2C=CC(=N)C=C2C(F)F)C(C(F)F)=C1,N=C1C=CC(=C2C=CC(=[NH2+])C=C2C(F)F)C(C(F)F)=C1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C=C2C(F)F)C(C(F)F)=C1,N=C1C=C[C](C2=CC=C(N)C=C2C(F)F)C(C(F)F)=C1,NC1=CC=C([C]2C=CC(=[NH2])C=C2C(F)F)C(C(F)F)=C1,[NH2]=C1C=C[C](C2=CC=C([NH3])C=C2C(F)F)C(C(F)F)=C1,Nc1ccc(-c2ccc(N)cc2C(F)F)c(C(F)F)c1,Nc1ccc(-c2ccc([NH3])cc2C(F)F)c(C(F)F)c1,[NH3]c1ccc(-c2ccc([NH3])cc2C(F)F)c(C(F)F)c1
N=C1C=CC(=C2C=CC(=N)C(CS)=C2)C=C1CS,N=C1C=CC(=C2C=CC(=[NH2+])C(CS)=C2)C=C1CS,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CS)=C2)C=C1CS,N=C1C=C[C](C2=CC=C(N)C(CS)=C2)C=C1CS,NC1=CC=C([C]2C=CC(=[NH2])C(CS)=C2)C=C1CS,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CS)=C2)C=C1CS,Nc1ccc(-c2ccc(N)c(CS)c2)cc1CS,Nc1ccc(-c2ccc([NH3])c(CS)c2)cc1CS,[NH3]c1ccc(-c2ccc([NH3])c(CS)c2)cc1CS
CC(C)(N)CCC1=CC(=N)C=CC1=C1C=CC(=N)C=C1CCC(C)(C)N,CC(C)(N)CCC1=CC(=N)C=CC1=C1C=CC(=[NH2+])C=C1CCC(C)(C)N,CC(C)(N)CCC1=CC(=[NH2+])C=CC1=C1C=CC(=[NH2+])C=C1CCC(C)(C)N,CC(C)(N)CCC1=CC(=N)C=C[C]1C1=C(CCC(C)(C)N)C=C(N)C=C1,CC(C)(N)CCC1=CC(=[NH2])C=C[C]1C1=C(CCC(C)(C)N)C=C(N)C=C1,CC(C)(N)CCC1=CC(=[NH2])C=C[C]1C1=C(CCC(C)(C)N)C=C([NH3])C=C1,CC(C)(N)CCc1cc(N)ccc1-c1ccc(N)cc1CCC(C)(C)N,CC(C)(N)CCc1cc(N)ccc1-c1ccc([NH3])cc1CCC(C)(C)N,CC(C)(N)CCc1cc([NH3])ccc1-c1ccc([NH3])cc1CCC(C)(C)N
N=C1C=CC(=C2C=CC(=N)C(NO)=C2)C=C1NO,N=C1C=CC(=C2C=CC(=[NH2+])C(NO)=C2)C=C1NO,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(NO)=C2)C=C1NO,N=C1C=C[C](C2=CC=C(N)C(NO)=C2)C=C1NO,NC1=CC=C([C]2C=CC(=[NH2])C(NO)=C2)C=C1NO,[NH2]=C1C=C[C](C2=CC=C([NH3])C(NO)=C2)C=C1NO,Nc1ccc(-c2ccc(N)c(NO)c2)cc1NO,Nc1ccc(-c2ccc([NH3])c(NO)c2)cc1NO,[NH3]c1ccc(-c2ccc([NH3])c(NO)c2)cc1NO
N=C1C=CC(=C2C=CC(=N)C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,N=C1C=CC(=C2C=CC(=[NH2+])C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,N=C1C=C[C](C2=CC=C(N)C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,NC1=CC=C([C]2C=CC(=[NH2])C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,[NH2]=C1C=C[C](C2=CC=C([NH3])C(CC(F)(F)F)=C2)C=C1CC(F)(F)F,Nc1ccc(-c2ccc(N)c(CC(F)(F)F)c2)cc1CC(F)(F)F,Nc1ccc(-c2ccc([NH3])c(CC(F)(F)F)c2)cc1CC(F)(F)F,[NH3]c1ccc(-c2ccc([NH3])c(CC(F)(F)F)c2)cc1CC(F)(F)F
[B]C1=CC(=C2C=CC(=N)C([B])=C2)C=CC1=N,[B]C1=CC(=C2C=CC(=[NH2+])C([B])=C2)C=CC1=N,[B]C1=CC(=C2C=CC(=[NH2+])C([B])=C2)C=CC1=[NH2+],[B]C1=C[C](C2=CC=C(N)C([B])=C2)C=CC1=N,[B]C1=C[C](C2=CC=C(N)C([B])=C2)C=CC1=[NH2],[B]C1=C[C](C2=CC=C([NH3])C([B])=C2)C=CC1=[NH2],[B]c1cc(-c2ccc(N)c([B])c2)ccc1N,[B]c1cc(-c2ccc([NH3])c([B])c2)ccc1N,[B]c1cc(-c2ccc([NH3])c([B])c2)ccc1[NH3]
CC=C(CCC)C1=CC(=C2C=CC(=N)C(C(=CC)CCC)=C2)C=CC1=N,CC=C(CCC)C1=CC(=C2C=CC(=[NH2+])C(C(=CC)CCC)=C2)C=CC1=N,CC=C(CCC)C1=CC(=C2C=CC(=[NH2+])C(C(=CC)CCC)=C2)C=CC1=[NH2+],CC=C(CCC)C1=C[C](C2=CC=C(N)C(C(=CC)CCC)=C2)C=CC1=N,CC=C(CCC)C1=C[C](C2=CC=C(N)C(C(=CC)CCC)=C2)C=CC1=[NH2],CC=C(CCC)C1=C[C](C2=CC=C([NH3])C(C(=CC)CCC)=C2)C=CC1=[NH2],CC=C(CCC)c1cc(-c2ccc(N)c(C(=CC)CCC)c2)ccc1N,CC=C(CCC)c1cc(-c2ccc([NH3])c(C(=CC)CCC)c2)ccc1N,CC=C(CCC)c1cc(-c2ccc([NH3])c(C(=CC)CCC)c2)ccc1[NH3]
C#CC1=CC(=C2C=CC(=N)C(C#C)=C2)C=CC1=N,C#CC1=CC(=C2C=CC(=[NH2+])C(C#C)=C2)C=CC1=N,C#CC1=CC(=C2C=CC(=[NH2+])C(C#C)=C2)C=CC1=[NH2+],C#CC1=C[C](C2=CC=C(N)C(C#C)=C2)C=CC1=N,C#CC1=C[C](C2=CC=C(N)C(C#C)=C2)C=CC1=[NH2],C#CC1=C[C](C2=CC=C([NH3])C(C#C)=C2)C=CC1=[NH2],C#Cc1cc(-c2ccc(N)c(C#C)c2)ccc1N,C#Cc1cc(-c2ccc([NH3])c(C#C)c2)ccc1N,C#Cc1cc(-c2ccc([NH3])c(C#C)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C(CCCN)=C2)C=C1CCCN,N=C1C=CC(=C2C=CC(=[NH2+])C(CCCN)=C2)C=C1CCCN,NCCCC1=CC(=C2C=CC(=[NH2+])C(CCCN)=C2)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(CCCN)=C2)C=C1CCCN,NCCCC1=C[C](C2=CC=C(N)C(CCCN)=C2)C=CC1=[NH2],NCCCC1=C[C](C2=CC=C([NH3])C(CCCN)=C2)C=CC1=[NH2],NCCCc1cc(-c2ccc(N)c(CCCN)c2)ccc1N,NCCCc1cc(-c2ccc([NH3])c(CCCN)c2)ccc1N,NCCCc1cc(-c2ccc([NH3])c(CCCN)c2)ccc1[NH3]
CCCCC1=CC(=C2C=CC(=N)C(CCCC)=C2)C=CC1=N,CCCCC1=CC(=C2C=CC(=[NH2+])C(CCCC)=C2)C=CC1=N,CCCCC1=CC(=C2C=CC(=[NH2+])C(CCCC)=C2)C=CC1=[NH2+],CCCCC1=C[C](C2=CC=C(N)C(CCCC)=C2)C=CC1=N,CCCCC1=C[C](C2=CC=C(N)C(CCCC)=C2)C=CC1=[NH2],CCCCC1=C[C](C2=CC=C([NH3])C(CCCC)=C2)C=CC1=[NH2],CCCCc1cc(-c2ccc(N)c(CCCC)c2)ccc1N,CCCCc1cc(-c2ccc([NH3])c(CCCC)c2)ccc1N,CCCCc1cc(-c2ccc([NH3])c(CCCC)c2)ccc1[NH3]
N=C1C=CC(=C2C=CC(=N)C(C3CCCC3)=C2)C=C1C1CCCC1,N=C1C=CC(=C2C=CC(=[NH2+])C(C3CCCC3)=C2)C=C1C1CCCC1,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C3CCCC3)=C2)C=C1C1CCCC1,N=C1C=C[C](C2=CC=C(N)C(C3CCCC3)=C2)C=C1C1CCCC1,NC1=CC=C([C]2C=CC(=[NH2])C(C3CCCC3)=C2)C=C1C1CCCC1,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C3CCCC3)=C2)C=C1C1CCCC1,Nc1ccc(-c2ccc(N)c(C3CCCC3)c2)cc1C1CCCC1,Nc1ccc(-c2ccc([NH3])c(C3CCCC3)c2)cc1C1CCCC1,[NH3]c1ccc(-c2ccc([NH3])c(C3CCCC3)c2)cc1C1CCCC1
N=C1C=CC(=C2C=CC(=N)C(SN)=C2)C=C1SN,N=C1C=CC(=C2C=CC(=[NH2+])C(SN)=C2)C=C1SN,NSC1=CC(=C2C=CC(=[NH2+])C(SN)=C2)C=CC1=[NH2+],N=C1C=C[C](C2=CC=C(N)C(SN)=C2)C=C1SN,NSC1=C[C](C2=CC=C(N)C(SN)=C2)C=CC1=[NH2],NSC1=C[C](C2=CC=C([NH3])C(SN)=C2)C=CC1=[NH2],NSc1cc(-c2ccc(N)c(SN)c2)ccc1N,NSc1cc(-c2ccc([NH3])c(SN)c2)ccc1N,NSc1cc(-c2ccc([NH3])c(SN)c2)ccc1[NH3]
CP(C)(=O)C1=CC(=C2C=CC(=N)C(P(C)(C)=O)=C2)C=CC1=N,CP(C)(=O)C1=CC(=C2C=CC(=[NH2+])C(P(C)(C)=O)=C2)C=CC1=N,CP(C)(=O)C1=CC(=C2C=CC(=[NH2+])C(P(C)(C)=O)=C2)C=CC1=[NH2+],CP(C)(=O)C1=C[C](C2=CC=C(N)C(P(C)(C)=O)=C2)C=CC1=N,CP(C)(=O)C1=C[C](C2=CC=C(N)C(P(C)(C)=O)=C2)C=CC1=[NH2],CP(C)(=O)C1=C[C](C2=CC=C([NH3])C(P(C)(C)=O)=C2)C=CC1=[NH2],CP(C)(=O)c1cc(-c2ccc(N)c(P(C)(C)=O)c2)ccc1N,CP(C)(=O)c1cc(-c2ccc([NH3])c(P(C)(C)=O)c2)ccc1N,CP(C)(=O)c1cc(-c2ccc([NH3])c(P(C)(C)=O)c2)ccc1[NH3]
N=C1C=C(Br)C(=C2C=C(N)C(=N)C=C2Br)C=C1N,N=C1C=C(Br)C(=C2C=C(N)C(=[NH2+])C=C2Br)C=C1N,NC1=CC(=C2C=C(N)C(=[NH2+])C=C2Br)C(Br)=CC1=[NH2+],N=C1C=C(Br)[C](C2=C(Br)C=C(N)C(N)=C2)C=C1N,NC1=C[C](C2=C(Br)C=C(N)C(N)=C2)C(Br)=CC1=[NH2],NC1=C[C](C2=C(Br)C=C([NH3])C(N)=C2)C(Br)=CC1=[NH2],Nc1cc(Br)c(-c2cc(N)c(N)cc2Br)cc1N,Nc1cc(Br)c(-c2cc(N)c([NH3])cc2Br)cc1N,Nc1cc(-c2cc(N)c([NH3])cc2Br)c(Br)cc1[NH3]
[C-]#[N+]C=CC1=CC(=C2C=CC(=N)C(C=C[N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C=CC1=CC(=C2C=CC(=[NH2+])C(C=C[N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C=CC1=CC(=C2C=CC(=[NH2+])C(C=C[N+]#[C-])=C2)C=CC1=[NH2+],[C-]#[N+]C=CC1=C[C](C2=CC=C(N)C(C=C[N+]#[C-])=C2)C=CC1=N,[C-]#[N+]C=CC1=C[C](C2=CC=C(N)C(C=C[N+]#[C-])=C2)C=CC1=[NH2],[C-]#[N+]C=CC1=C[C](C2=CC=C([NH3])C(C=C[N+]#[C-])=C2)C=CC1=[NH2],[C-]#[N+]C=Cc1cc(-c2ccc(N)c(C=C[N+]#[C-])c2)ccc1N,[C-]#[N+]C=Cc1cc(-c2ccc([NH3])c(C=C[N+]#[C-])c2)ccc1N,[C-]#[N+]C=Cc1cc(-c2ccc([NH3])c(C=C[N+]#[C-])c2)ccc1[NH3]
N=C1C=C(Br)C(=C2C(Br)=CC(=N)C=C2Br)C(Br)=C1,N=C1C=C(Br)C(=C2C(Br)=CC(=[NH2+])C=C2Br)C(Br)=C1,[NH2+]=C1C=C(Br)C(=C2C(Br)=CC(=[NH2+])C=C2Br)C(Br)=C1,N=C1C=C(Br)[C](C2=C(Br)C=C(N)C=C2Br)C(Br)=C1,NC1=CC(Br)=C([C]2C(Br)=CC(=[NH2])C=C2Br)C(Br)=C1,[NH2]=C1C=C(Br)[C](C2=C(Br)C=C([NH3])C=C2Br)C(Br)=C1,Nc1cc(Br)c(-c2c(Br)cc(N)cc2Br)c(Br)c1,Nc1cc(Br)c(-c2c(Br)cc([NH3])cc2Br)c(Br)c1,[NH3]c1cc(Br)c(-c2c(Br)cc([NH3])cc2Br)c(Br)c1
N=C1C=CC(=C2C=CC(=N)C(C(F)F)=C2F)C(F)=C1C(F)F,N=C1C=CC(=C2C=CC(=[NH2+])C(C(F)F)=C2F)C(F)=C1C(F)F,[NH2+]=C1C=CC(=C2C=CC(=[NH2+])C(C(F)F)=C2F)C(F)=C1C(F)F,N=C1C=C[C](C2=CC=C(N)C(C(F)F)=C2F)C(F)=C1C(F)F,NC1=CC=C([C]2C=CC(=[NH2])C(C(F)F)=C2F)C(F)=C1C(F)F,[NH2]=C1C=C[C](C2=CC=C([NH3])C(C(F)F)=C2F)C(F)=C1C(F)F,Nc1ccc(-c2ccc(N)c(C(F)F)c2F)c(F)c1C(F)F,Nc1ccc(-c2ccc([NH3])c(C(F)F)c2F)c(F)c1C(F)F,[NH3]c1ccc(-c2ccc([NH3])c(C(F)F)c2F)c(F)c1C(F)F
